time,source,dest,protocol,size,description,website
23.702037643,146.75.29.44,172.28.0.2,TCP,1514,443 → 54508 [ACK] Seq=102445 Ack=1859 Win=524288 Len=1448 TSval=3377887896 TSecr=755479650 [TCP segment of a reassembled PDU],weather.com
23.702039516,172.28.0.2,146.75.29.44,TCP,66,54508 → 443 [ACK] Seq=1859 Ack=103893 Win=87296 Len=0 TSval=755479653 TSecr=3377887896,weather.com
23.702045027,146.75.29.44,172.28.0.2,TCP,1514,443 → 54508 [ACK] Seq=103893 Ack=1859 Win=524288 Len=1448 TSval=3377887896 TSecr=755479650 [TCP segment of a reassembled PDU],weather.com
23.702046910,172.28.0.2,146.75.29.44,TCP,66,54508 → 443 [ACK] Seq=1859 Ack=105341 Win=90240 Len=0 TSval=755479653 TSecr=3377887896,weather.com
23.702052481,146.75.29.44,172.28.0.2,TCP,1514,443 → 54508 [ACK] Seq=105341 Ack=1859 Win=524288 Len=1448 TSval=3377887896 TSecr=755479650 [TCP segment of a reassembled PDU],weather.com
23.702055085,172.28.0.2,146.75.29.44,TCP,66,54508 → 443 [ACK] Seq=1859 Ack=106789 Win=93056 Len=0 TSval=755479653 TSecr=3377887896,weather.com
23.702064834,146.75.29.44,172.28.0.2,TCP,1066,"443 → 54508 [PSH, ACK] Seq=106789 Ack=1859 Win=524288 Len=1000 TSval=3377887896 TSecr=755479650 [TCP segment of a reassembled PDU]",weather.com
23.702067198,172.28.0.2,146.75.29.44,TCP,66,54508 → 443 [ACK] Seq=1859 Ack=107789 Win=96000 Len=0 TSval=755479653 TSecr=3377887896,weather.com
23.702100140,146.75.29.44,172.28.0.2,TCP,1514,443 → 54508 [ACK] Seq=107789 Ack=1859 Win=524288 Len=1448 TSval=3377887897 TSecr=755479650 [TCP segment of a reassembled PDU],weather.com
23.702104408,172.28.0.2,146.75.29.44,TCP,66,54508 → 443 [ACK] Seq=1859 Ack=109237 Win=98944 Len=0 TSval=755479653 TSecr=3377887897,weather.com
