time,source,dest,protocol,size,description,website
8.531310692,172.28.0.2,35.186.194.58,TCP,66,46280 → 443 [ACK] Seq=1719 Ack=8235 Win=64128 Len=0 TSval=2502691698 TSecr=1851769007,github
8.539486186,35.201.112.186,172.28.0.2,TLSv1.3,1514,"Server Hello, Change Cipher Spec",github
8.539544055,172.28.0.2,35.201.112.186,TCP,66,41028 → 443 [ACK] Seq=667 Ack=1449 Win=64128 Len=0 TSval=2270949904 TSecr=2177554611,github
8.539596793,35.201.112.186,172.28.0.2,TCP,666,"443 → 41028 [PSH, ACK] Seq=1449 Ack=667 Win=524288 Len=600 TSval=2177554611 TSecr=2270949819 [TCP segment of a reassembled PDU]",github
8.539603276,172.28.0.2,35.201.112.186,TCP,66,41028 → 443 [ACK] Seq=667 Ack=2049 Win=63616 Len=0 TSval=2270949904 TSecr=2177554611,github
8.539612343,35.201.112.186,172.28.0.2,TCP,1514,443 → 41028 [ACK] Seq=2049 Ack=667 Win=524288 Len=1448 TSval=2177554611 TSecr=2270949819 [TCP segment of a reassembled PDU],github
8.539615719,172.28.0.2,35.201.112.186,TCP,66,41028 → 443 [ACK] Seq=667 Ack=3497 Win=62208 Len=0 TSval=2270949904 TSecr=2177554611,github
8.539621800,35.201.112.186,172.28.0.2,TLSv1.3,1257,Application Data,github
8.539624345,172.28.0.2,35.201.112.186,TCP,66,41028 → 443 [ACK] Seq=667 Ack=4688 Win=61056 Len=0 TSval=2270949904 TSecr=2177554611,github
8.544782964,172.28.0.2,192.168.65.7,DNS,73,Standard query 0x4876 A ocsp.pki.goog,github
8.545145073,172.28.0.2,192.168.65.7,DNS,73,Standard query 0x4819 A ocsp.pki.goog,github
8.547700025,192.168.65.7,172.28.0.2,DNS,195,Standard query response 0x4819 A ocsp.pki.goog CNAME pki-goog.l.google.com A 142.251.16.94 A 142.251.16.94,github
8.548013951,192.168.65.7,172.28.0.2,DNS,195,Standard query response 0x4876 A ocsp.pki.goog CNAME pki-goog.l.google.com A 142.251.16.94 A 142.251.16.94,github
8.548647148,172.28.0.2,142.251.16.94,TCP,74,51000 → 80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3195907963 TSecr=0 WS=128,github
8.549523170,35.186.194.58,172.28.0.2,QUIC,613,"Protected Payload (KP0), DCID=b495e7",github
8.549659265,35.186.194.58,172.28.0.2,QUIC,166,"Protected Payload (KP0), DCID=b495e7",github
8.549670225,35.186.194.58,172.28.0.2,QUIC,68,"Protected Payload (KP0), DCID=b495e7",github
8.550433346,172.28.0.2,35.186.194.58,QUIC,73,"Protected Payload (KP0), DCID=e74fce2ba59ad0f8",github
8.551568874,142.251.16.94,172.28.0.2,TCP,74,"80 → 51000 [SYN, ACK] Seq=0 Ack=1 Win=29184 Len=0 MSS=1460 TSval=1805959883 TSecr=3195907963 WS=32",github
8.551617636,172.28.0.2,142.251.16.94,TCP,66,51000 → 80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3195907966 TSecr=1805959883,github
8.551806279,172.28.0.2,142.251.16.94,OCSP,498,Request,github
8.552921344,142.251.16.94,172.28.0.2,TCP,66,80 → 51000 [ACK] Seq=1 Ack=433 Win=28736 Len=0 TSval=1805959884 TSecr=3195907966,github
8.636380196,142.251.16.94,172.28.0.2,OCSP,798,Response,github
8.636448294,172.28.0.2,142.251.16.94,TCP,66,51000 → 80 [ACK] Seq=433 Ack=733 Win=64128 Len=0 TSval=3195908051 TSecr=1805959966,github
