time,source,dest,protocol,size,description,website
4.389881328,172.28.0.2,142.251.167.94,TLSv1.3,97,Application Data,facebook
4.390930304,172.28.0.2,142.251.167.99,QUIC,73,"Protected Payload (KP0), DCID=e2acc364247a54a1",facebook
4.391883977,142.251.167.94,172.28.0.2,TCP,66,443 → 43268 [ACK] Seq=4965 Ack=929 Win=524256 Len=0 TSval=2738760449 TSecr=2987587160,facebook
4.394197984,142.251.167.94,172.28.0.2,QUIC,657,"Protected Payload (KP0), DCID=ed5da5",facebook
4.394234422,142.251.167.94,172.28.0.2,QUIC,166,"Protected Payload (KP0), DCID=ed5da5",facebook
4.394239492,142.251.167.94,172.28.0.2,QUIC,68,"Protected Payload (KP0), DCID=ed5da5",facebook
4.395284255,172.28.0.2,142.251.167.94,QUIC,73,"Protected Payload (KP0), DCID=ee6aff530b255cbf",facebook
4.414925927,142.251.167.99,172.28.0.2,TLSv1.3,654,Application Data,facebook
4.414963087,172.28.0.2,142.251.167.99,TCP,66,52486 → 443 [ACK] Seq=1403 Ack=5522 Win=64128 Len=0 TSval=492372587 TSecr=337376128,facebook
4.415011307,142.251.167.99,172.28.0.2,TLSv1.3,1514,Application Data,facebook
4.415016226,172.28.0.2,142.251.167.99,TCP,66,52486 → 443 [ACK] Seq=1403 Ack=6970 Win=63232 Len=0 TSval=492372587 TSecr=337376129,facebook
4.415025544,142.251.167.99,172.28.0.2,TLSv1.3,1514,Application Data [TCP segment of a reassembled PDU],facebook
4.415028669,172.28.0.2,142.251.167.99,TCP,66,52486 → 443 [ACK] Seq=1403 Ack=8418 Win=62080 Len=0 TSval=492372587 TSecr=337376129,facebook
4.415034991,142.251.167.99,172.28.0.2,TLSv1.3,1514,Application Data [TCP segment of a reassembled PDU],facebook
4.415038177,172.28.0.2,142.251.167.99,TCP,66,52486 → 443 [ACK] Seq=1403 Ack=9866 Win=60928 Len=0 TSval=492372587 TSecr=337376129,facebook
4.415043998,142.251.167.99,172.28.0.2,TLSv1.3,1359,Application Data,facebook
4.415047535,172.28.0.2,142.251.167.99,TCP,66,52486 → 443 [ACK] Seq=1403 Ack=11159 Win=59776 Len=0 TSval=492372587 TSecr=337376129,facebook
4.415059046,142.251.167.99,172.28.0.2,TLSv1.3,1514,Application Data,facebook
4.415062353,172.28.0.2,142.251.167.99,TCP,66,52486 → 443 [ACK] Seq=1403 Ack=12607 Win=59776 Len=0 TSval=492372587 TSecr=337376129,facebook
4.415071760,142.251.167.99,172.28.0.2,TLSv1.3,1442,Application Data,facebook
4.415549671,172.28.0.2,142.251.167.99,TCP,66,52486 → 443 [ACK] Seq=1403 Ack=13983 Win=64128 Len=0 TSval=492372588 TSecr=337376129,facebook
4.415593022,142.251.167.99,172.28.0.2,TLSv1.3,1514,Application Data,facebook
4.415601228,142.251.167.99,172.28.0.2,TLSv1.3,1514,Application Data [TCP segment of a reassembled PDU],facebook
4.415605786,142.251.167.99,172.28.0.2,TLSv1.3,1406,Application Data,facebook
4.415610185,142.251.167.99,172.28.0.2,TLSv1.3,1478,Application Data,facebook
4.415624451,172.28.0.2,142.251.167.99,TCP,66,52486 → 443 [ACK] Seq=1403 Ack=19631 Win=60928 Len=0 TSval=492372588 TSecr=337376131,facebook
4.416266790,142.251.167.99,172.28.0.2,TLSv1.3,1514,"Application Data, Application Data",facebook
4.416313889,142.251.167.99,172.28.0.2,TLSv1.3,1442,Application Data [TCP segment of a reassembled PDU],facebook
4.416319349,172.28.0.2,142.251.167.99,TCP,66,52486 → 443 [ACK] Seq=1403 Ack=22455 Win=63232 Len=0 TSval=492372588 TSecr=337376131,facebook
4.416978840,142.251.167.99,172.28.0.2,TLSv1.3,1514,Application Data [TCP segment of a reassembled PDU],facebook
4.417017653,142.251.167.99,172.28.0.2,TLSv1.3,1442,Application Data [TCP segment of a reassembled PDU],facebook
4.417023093,172.28.0.2,142.251.167.99,TCP,66,52486 → 443 [ACK] Seq=1403 Ack=25279 Win=63232 Len=0 TSval=492372589 TSecr=337376132,facebook
4.418132683,142.251.167.99,172.28.0.2,TLSv1.3,1514,Application Data [TCP segment of a reassembled PDU],facebook
4.418139706,172.28.0.2,142.251.167.99,TCP,66,52486 → 443 [ACK] Seq=1403 Ack=26727 Win=67072 Len=0 TSval=492372590 TSecr=337376133,facebook
4.418206551,142.251.167.99,172.28.0.2,TLSv1.3,1514,Application Data [TCP segment of a reassembled PDU],facebook
4.418211070,172.28.0.2,142.251.167.99,TCP,66,52486 → 443 [ACK] Seq=1403 Ack=28175 Win=69888 Len=0 TSval=492372590 TSecr=337376133,facebook
4.418220748,142.251.167.99,172.28.0.2,TLSv1.3,1514,Application Data [TCP segment of a reassembled PDU],facebook
4.418223283,172.28.0.2,142.251.167.99,TCP,66,52486 → 443 [ACK] Seq=1403 Ack=29623 Win=72832 Len=0 TSval=492372590 TSecr=337376133,facebook
4.418230065,142.251.167.99,172.28.0.2,TLSv1.3,1370,Application Data [TCP segment of a reassembled PDU],facebook
4.418232560,172.28.0.2,142.251.167.99,TCP,66,52486 → 443 [ACK] Seq=1403 Ack=30927 Win=75776 Len=0 TSval=492372590 TSecr=337376133,facebook
4.419407312,142.251.167.99,172.28.0.2,TLSv1.3,1514,Application Data [TCP segment of a reassembled PDU],facebook
4.419412903,172.28.0.2,142.251.167.99,TCP,66,52486 → 443 [ACK] Seq=1403 Ack=32375 Win=78592 Len=0 TSval=492372592 TSecr=337376134,facebook
4.419476943,142.251.167.99,172.28.0.2,TLSv1.3,1442,Application Data [TCP segment of a reassembled PDU],facebook
4.419481251,172.28.0.2,142.251.167.99,TCP,66,52486 → 443 [ACK] Seq=1403 Ack=33751 Win=81536 Len=0 TSval=492372592 TSecr=337376134,facebook
4.420183507,142.251.167.99,172.28.0.2,TLSv1.3,1453,"Application Data, Application Data, Application Data, Application Data",facebook
4.420190330,172.28.0.2,142.251.167.99,TCP,66,52486 → 443 [ACK] Seq=1403 Ack=35138 Win=84480 Len=0 TSval=492372592 TSecr=337376135,facebook
4.420378988,172.28.0.2,142.251.167.99,TLSv1.3,105,Application Data,facebook
4.421776493,142.251.167.99,172.28.0.2,TCP,66,443 → 52486 [ACK] Seq=35138 Ack=1442 Win=524224 Len=0 TSval=337376137 TSecr=492372593,facebook
4.426188182,172.28.0.2,192.168.65.7,DNS,75,Standard query 0xcc5e A www.gstatic.com,facebook
4.429306407,192.168.65.7,172.28.0.2,DNS,106,Standard query response 0xcc5e A www.gstatic.com A 142.251.167.94,facebook
4.436050789,172.28.0.2,142.251.167.94,QUIC,1399,"Initial, DCID=5eea1ac6e7bd5da9, SCID=844295, PKN: 0, CRYPTO",facebook
4.455733693,142.251.167.94,172.28.0.2,QUIC,1399,"Initial, DCID=844295, SCID=feea1ac6e7bd5da9, PKN: 1, ACK, CRYPTO, PADDING",facebook
4.456238349,142.251.167.94,172.28.0.2,QUIC,1399,"Handshake, DCID=844295, SCID=feea1ac6e7bd5da9",facebook
4.456244410,142.251.167.94,172.28.0.2,QUIC,1399,"Handshake, DCID=844295, SCID=feea1ac6e7bd5da9",facebook
4.456378532,172.28.0.2,142.251.167.94,QUIC,84,"Handshake, DCID=feea1ac6e7bd5da9, SCID=844295",facebook
4.473348105,142.251.167.94,172.28.0.2,QUIC,1399,"Handshake, DCID=844295, SCID=feea1ac6e7bd5da9",facebook
4.473391706,142.251.167.94,172.28.0.2,QUIC,525,"Protected Payload (KP0), DCID=844295",facebook
4.474350669,172.28.0.2,142.251.167.94,QUIC,85,"Handshake, DCID=feea1ac6e7bd5da9, SCID=844295",facebook
4.477278367,172.28.0.2,142.251.167.94,QUIC,173,"Protected Payload (KP0), DCID=feea1ac6e7bd5da9",facebook
4.477357495,172.28.0.2,142.251.167.94,QUIC,112,"Protected Payload (KP0), DCID=feea1ac6e7bd5da9",facebook
4.484470548,172.28.0.2,142.251.167.99,QUIC,450,"Protected Payload (KP0), DCID=e2acc364247a54a1",facebook
4.485042790,172.28.0.2,142.251.167.99,QUIC,72,"Protected Payload (KP0), DCID=e2acc364247a54a1",facebook
4.493898174,142.251.167.94,172.28.0.2,QUIC,657,"Protected Payload (KP0), DCID=844295",facebook
4.493944501,142.251.167.94,172.28.0.2,QUIC,166,"Protected Payload (KP0), DCID=844295",facebook
4.493949991,142.251.167.94,172.28.0.2,QUIC,68,"Protected Payload (KP0), DCID=844295",facebook
4.494765545,172.28.0.2,142.251.167.94,QUIC,73,"Protected Payload (KP0), DCID=feea1ac6e7bd5da9",facebook
4.503270071,142.251.167.99,172.28.0.2,QUIC,72,"Protected Payload (KP0), DCID=80420b",facebook
4.503317069,142.251.167.99,172.28.0.2,QUIC,73,"Protected Payload (KP0), DCID=80420b",facebook
4.503643777,172.28.0.2,142.251.167.99,QUIC,73,"Protected Payload (KP0), DCID=e2acc364247a54a1",facebook
4.507507759,172.28.0.2,192.168.65.7,DNS,77,Standard query 0xb8bc A fonts.gstatic.com,facebook
4.509798593,192.168.65.7,172.28.0.2,DNS,110,Standard query response 0xb8bc A fonts.gstatic.com A 172.253.115.94,facebook
4.700706550,172.28.0.2,142.251.167.99,QUIC,350,"Protected Payload (KP0), DCID=e2acc364247a54a1",facebook
4.717524028,142.251.167.99,172.28.0.2,QUIC,72,"Protected Payload (KP0), DCID=80420b",facebook
4.717781200,172.28.0.2,142.251.167.99,QUIC,73,"Protected Payload (KP0), DCID=e2acc364247a54a1",facebook
4.729634829,172.28.0.2,157.240.229.35,QUIC,393,"Protected Payload (KP0), DCID=b52101021363b511",facebook
4.736336285,142.251.167.99,172.28.0.2,QUIC,552,"Protected Payload (KP0), DCID=80420b",facebook
4.736382722,142.251.167.99,172.28.0.2,QUIC,78,"Protected Payload (KP0), DCID=80420b",facebook
4.737052793,172.28.0.2,142.251.167.99,QUIC,78,"Protected Payload (KP0), DCID=e2acc364247a54a1",facebook
4.738479607,142.251.167.99,172.28.0.2,QUIC,1259,"Protected Payload (KP0), DCID=80420b",facebook
4.738529421,142.251.167.99,172.28.0.2,QUIC,161,"Protected Payload (KP0), DCID=80420b",facebook
